name,popular_tags,game_details,genre,ID
X2: The Threat,"Space,Strategy,Simulation,Sci-fi,Singleplayer,Open World,Space Sim,Economy,Sandbox,Trading,Action","Single-player,Captions available,Steam Cloud",Strategy,x2thethreat
Super Chibi Knight,"Action,Adventure,Indie,RPG,Action RPG,2D,Singleplayer,Side Scroller,Family Friendly,Classic,Cute","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie,RPG",superchibiknight
Haunt the House: Terrortown,"Indie,Casual,Cute,Action,Funny,Short,Puzzle,2D,Adventure,Masterpiece,Family Friendly,Great Soundtrack","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Casual,Indie",hauntthehouseterrortown
Windward,"Pirates,Naval,Adventure,Sandbox,Indie,Multiplayer,RPG,Action,Trading,Open World,Strategy,Co-op,Singleplayer,Procedural Generation,Exploration,Sailing,Choose Your Own Adventure,MMORPG,Great Soundtrack,Economy","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie,RPG",windward
Super Sanctum TD,"Tower Defense,Strategy,Indie,Casual,Retro,Isometric,2D,Singleplayer,Difficult,Pixel Graphics,Sci-fi,Aliens","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Casual,Indie,Strategy",supersanctumtd
YOU DON'T KNOW JACK Vol. 1 XL,"Casual,Indie,Comedy,Local Multiplayer","Single-player,Multi-player","Casual,Indie",youdontknowjackvol1xl
Uplink,"Hacking,Indie,Strategy,Singleplayer,Cyberpunk,Great Soundtrack,Simulation,Classic,Sci-fi,Real-Time with Pause,2D,Experimental,Atmospheric,Story Rich,Addictive,Rogue-like,Perma Death,Puzzle",Single-player,"Indie,Strategy",uplink
Samorost 2,"Adventure,Point & Click,Indie,Puzzle,Casual,Surreal,Atmospheric,Singleplayer,Short,2D,Fantasy,Great Soundtrack,Hand-drawn,Sci-fi",Single-player,"Adventure,Casual,Indie",samorost2
The Tiny Bang Story,"Puzzle,Hand-drawn,Point & Click,Hidden Object,Casual,Adventure,Indie,Relaxing,Atmospheric,Short,Singleplayer,2D,Touch-Friendly,Cartoony,Cute,Great Soundtrack,Story Rich,Mystery,Funny,Comedy","Single-player,Steam Trading Cards","Adventure,Casual,Indie",thetinybangstory
Arx Fatalis,"RPG,First-Person,Classic,Atmospheric,Fantasy,Dark Fantasy,Singleplayer,Underground,Action,Adventure,Story Rich,Masterpiece,Exploration,Immersive Sim,Dungeon Crawler,Horror,Magic,Action RPG,Stealth",Single-player,RPG,arxfatalis
Pro Cycling Manager 2014,"Simulation,Sports,Cycling,Management,Adventure,Masterpiece","Single-player,Multi-player",Simulation,procyclingmanager2014
Gothic® 3,"RPG,Open World,Fantasy,Action,Atmospheric,Third Person,Singleplayer,Gothic,Medieval,Adventure,Great Soundtrack,Story Rich,Magic,Masterpiece,Sandbox,Action RPG,Classic,First-Person,Replay Value,Dark Fantasy",Single-player,"Action,RPG",gothic3
Teddy Floppy Ear - Mountain Adventure,"Family Friendly,Casual,Adventure,Indie,Point & Click,Cute,Anime,Atmospheric","Single-player,Steam Trading Cards,Steam Cloud","Adventure,Casual,Indie",teddyfloppyearmountainadventure
TimeShift™,"Action,FPS,Time Manipulation,Sci-fi,Masterpiece,First-Person,Shooter,Singleplayer,Atmospheric,Bullet Time,Multiplayer,Classic,Futuristic,Time Travel,Gore,Alternate History","Single-player,Multi-player",Action,timeshift
Demigod,"Strategy,MOBA,RPG,Action,Fantasy,Multiplayer,Violent,Singleplayer,Masterpiece,Nudity","Single-player,Multi-player,Online Multi-Player,Online Co-op","Action,RPG,Strategy",demigod
American Conquest,"Strategy,RTS,Historical,Singleplayer",Single-player,Strategy,americanconquest
Boson X,"Indie,Action,Runner,Difficult,Arcade,3D Platformer,Singleplayer,Minimalist,Great Soundtrack,Fast-Paced,Parkour","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards","Action,Indie",bosonx
Super 3-D Noah's Ark,"FPS,Action,Classic,Family Friendly,Singleplayer,Retro,Cold War,Cult Classic,Masterpiece,First-Person,Shooter,Difficult,Sexual Content,Education,Pixel Graphics,Alternate History,Perma Death,Funny,Cute,Villain Protagonist","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,super3dnoahsark
Hammerfight,"Action,Indie,Physics,Mouse only,2D,Singleplayer,Multiple Endings,Experimental,Difficult,Steampunk,Fighting,Masterpiece,Local Multiplayer",Single-player,"Action,Indie",hammerfight
Sakura Spirit,"Anime,Visual Novel,Nudity,Mature,Dating Sim,Singleplayer,Cute,Sexual Content,Indie,Romance,Fantasy,Short,Simulation,Casual,2D,Beautiful,Comedy,Memes,Dog,Linear","Single-player,Steam Trading Cards",Indie,sakuraspirit
Boring Man - Online Tactical Stickman Combat,"Free to Play,Action,Multiplayer,2D,Shooter,Indie,Funny,Massively Multiplayer,Platformer,Parkour,Pixel Graphics,Zombies,Co-op,Singleplayer,Adventure,Casual,Gore,Violent,Comedy,Blood","Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Includes level editor","Action,Free to Play,Indie,Massively Multiplayer",boringmanonlinetacticalstickmancombat
LOOM™,"Adventure,Point & Click,Classic,Fantasy,Puzzle,Singleplayer,Music,1990's,Retro,Pixel Graphics,Atmospheric,Cult Classic,Comedy,Masterpiece,Short,Third Person,Story Rich,Funny,Remake,Cartoony","Single-player,Steam Cloud",Adventure,loom
"Warhammer 40,000: Regicide","Warhammer 40K,Strategy,Chess,Gore,Turn-Based Strategy,Indie,Turn-Based Tactics,Multiplayer,Tactical,Sci-fi,Asynchronous Multiplayer,Singleplayer,Games Workshop,Turn-Based,Competitive,Board Game,Great Soundtrack,Early Access,Third Person,Action","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,In-App Purchases","Action,Indie,Strategy",warhammer40000regicide
Darwinia,"Strategy,Indie,RTS,Singleplayer,Retro,Story Rich,Action,Top-Down,Atmospheric",Single-player,"Indie,Strategy",darwinia
Ship Simulator Extremes,"Simulation,Realistic,Naval,Open World,Multiplayer,Adventure,Singleplayer","Single-player,Multi-player",Simulation,shipsimulatorextremes
Bloody Good Time,"Action,Multiplayer,FPS,Comedy,Funny,Shooter,First-Person,Gore","Single-player,Multi-player,Steam Achievements",Action,bloodygoodtime
Eets Munchies,"Indie,Casual,Puzzle,Strategy,Platformer,Simulation,Singleplayer,Family Friendly,Touch-Friendly,2D,Cute","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Casual,Indie,Simulation,Strategy",eetsmunchies
Dungeon Siege,"RPG,Fantasy,Action RPG,Classic,Party-Based RPG,Hack and Slash,Adventure,Singleplayer,Dungeon Crawler,Isometric,Loot,Masterpiece,Co-op,Action,Multiplayer,Real-Time with Pause,Open World,Great Soundtrack",Single-player,RPG,dungeonsiege
Battle of Empires : 1914-1918,"Strategy,World War I,War,Historical,Action,RTS,Multiplayer,Atmospheric,Singleplayer,Indie,Simulation,Early Access,Masterpiece,Realistic","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Includes level editor","Action,Strategy",battleofempires19141918
Blackwell Convergence,"Point & Click,Adventure,Indie,Female Protagonist,Supernatural,Mystery,Detective,Pixel Graphics,Singleplayer,Noir,Story Rich,2D,Atmospheric,Third Person,Puzzle","Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie",blackwellconvergence
Outcast 1.1,"Adventure,Action,Classic,Third Person,Open World,RPG,Voxel,Sci-fi,Singleplayer,Remake,Great Soundtrack,1990's,Aliens,Retro","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Stats","Action,Adventure,RPG",outcast11
Car Mechanic Simulator 2014,"Simulation,Singleplayer,Education,First-Person,Realistic,Puzzle,Masterpiece,Racing,Strategy,Indie,Great Soundtrack,Casual,Multiplayer,Management,RPG",Single-player,Simulation,carmechanicsimulator2014
Detective Grimoire,"Adventure,Detective,Point & Click,Indie,Mystery,Singleplayer,Puzzle,Casual,Short,Cartoony,2D,Kickstarter,Funny","Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie",detectivegrimoire
Dwarfs - F2P,"Free to Play,Strategy,Casual,Indie,Singleplayer,Arcade,Mining,2D,Sandbox,RTS,Multiplayer,Top-Down,Funny",Single-player,"Casual,Free to Play,Indie,Strategy",dwarfsf2p
To End All Wars,"Strategy,Simulation,World War I,Grand Strategy,Wargame,Historical,Turn-Based","Single-player,Multi-player,Co-op","Simulation,Strategy",toendallwars
Enclave,"RPG,Action,Fantasy,Third Person,Hack and Slash,Adventure,Singleplayer,Classic,Masterpiece,Action RPG,Multiplayer,Magic,Female Protagonist,First-Person,Atmospheric,Open World,Great Soundtrack,Nudity,Action-Adventure,Horror","Single-player,Steam Trading Cards,Steam Cloud",RPG,enclave
Red Stone Online,"Free to Play,RPG,Massively Multiplayer,Anime,MMORPG,2.5D","Multi-player,MMO","Free to Play,Massively Multiplayer,RPG",redstoneonline
Tree of Life,"Survival,Sandbox,Open World,Massively Multiplayer,Building,Crafting,RPG,Co-op,Indie,Adventure,PvP,MMORPG,Early Access,Multiplayer,Base Building,Singleplayer,Action,Cute,Free to Play","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op","Indie,Massively Multiplayer,RPG",treeoflife
Zombie Grinder,"Early Access,Action,Indie,Adventure,Early Access,RPG,Zombies,Pixel Graphics,Multiplayer,Twin Stick Shooter","Single-player,Multi-player,Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Action,Adventure,Indie,RPG,Early Access",zombiegrinder
