name,popular_tags,game_details,genre,ID
Planetary Annihilation: TITANS,"Strategy,RTS,Space,Multiplayer,Base Building,Robots,Sci-fi,War,Building,Co-op,Action,Singleplayer,Grand Strategy,Open World,Futuristic,Mechs,Destruction,Indie,Great Soundtrack,Casual","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements",Strategy,planetaryannihilationtitans
Sid Meier's Civilization® IV,"Strategy,Turn-Based Strategy,Turn-Based,4X,Historical,Multiplayer,Singleplayer,Moddable,Grand Strategy,Classic,Addictive,Masterpiece,Replay Value,Simulation,Resource Management,Great Soundtrack,Economy,War,Tactical,Management","Single-player,Multi-player,Includes level editor",Strategy,sidmeierscivilizationiv
Supreme Commander,"Strategy,RTS,Sci-fi,Multiplayer,Masterpiece,Real-Time,Co-op,Real-Time with Pause,Singleplayer,Base Building,Robots,Action,Classic,Space","Single-player,Multi-player",Strategy,supremecommander
The Binding of Isaac,"Rogue-like,Indie,Replay Value,Difficult,Procedural Generation,Dark,Action,Top-Down,Great Soundtrack,Addictive,Singleplayer,Adventure,Rogue-lite,Survival,RPG,2D,Dungeon Crawler,Perma Death,Bullet Hell,Masterpiece","Single-player,Steam Achievements,Steam Trading Cards","Action,Adventure,Indie,RPG",thebindingofisaac
Stronghold Crusader 2,"Strategy,Medieval,City Builder,RTS,Multiplayer,Simulation,Historical,Classic,Singleplayer,Co-op,Building,Atmospheric,Resource Management,Masterpiece,Action,Sandbox,Tactical,Open World,Adventure,Survival","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Simulation,Strategy",strongholdcrusader2
Supreme Commander 2,"Strategy,RTS,Sci-fi,Multiplayer,Robots,Base Building,Co-op,Singleplayer,Grand Strategy,Real-Time,Action,Military,Futuristic,War,Tactical,Masterpiece,Classic,Sandbox","Single-player,Multi-player,Steam Achievements,Stats,Steam Leaderboards",Strategy,supremecommander2
Creeper World 3: Arc Eternal,"Strategy,Tower Defense,Indie,RTS,Singleplayer,Sci-fi,Real-Time with Pause,Simulation,Base Building,Level Editor,Top-Down,Addictive,2D,Survival,Resource Management","Single-player,Steam Achievements,Steam Cloud,Stats,Includes level editor","Indie,Simulation,Strategy",creeperworld3arceternal
Mad Max,"Open World,Action,Post-apocalyptic,Driving,Singleplayer,Survival,Third Person,Adventure,Exploration,Racing,Atmospheric,Story Rich,Sandbox,RPG,Third-Person Shooter,Shooter,Multiplayer,War,Sci-fi,First-Person","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure",madmax
Mirror's Edge™,"Parkour,First-Person,Action,Female Protagonist,Singleplayer,Great Soundtrack,Adventure,Platformer,Atmospheric,Dystopian,Stylized,Futuristic,Sci-fi,FPS,Cyberpunk,Puzzle,Time Attack,Colorful,Masterpiece,Classic","Single-player,Full controller support,Partial Controller Support","Action,Adventure",mirrorsedge
BioShock® 2,"FPS,Action,Singleplayer,Atmospheric,Story Rich,Horror,Shooter,First-Person,Steampunk,Sci-fi,Multiplayer,Dystopian,Underwater,Adventure,RPG,Masterpiece,Dark,Great Soundtrack,Philisophical,Action RPG","Single-player,Multi-player,Steam Achievements,Full controller support",Action,bioshock2
Tom Clancy's Rainbow Six® Vegas 2,"Action,Tactical,FPS,Co-op,Online Co-Op,Singleplayer,Multiplayer,Shooter,First-Person,Team-Based,Strategy,Character Customization,Stealth,Third Person,Classic,Difficult,Third-Person Shooter,Atmospheric,Adventure,Realistic","Single-player,Multi-player,Co-op",Action,tomclancysrainbowsixvegas2
Battlefield: Bad Company™ 2,"FPS,Multiplayer,Action,Shooter,War,Team-Based,First-Person,Destruction,Military,Singleplayer,Co-op,Tactical,Atmospheric,Open World,Classic,Comedy,Masterpiece,Strategy,Adventure,Simulation","Single-player,Multi-player",Action,battlefieldbadcompany2
From the Depths,"Early Access,Sandbox,Building,Strategy,Open World,Naval,Multiplayer,Action,Adventure,Early Access,Simulation,Indie,War,Crafting,Physics,Singleplayer,RPG,Voxel,Space,Co-op","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Captions available,Steam Workshop,Steam Leaderboards,Includes level editor","Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access",fromthedepths
Heroes of Might & Magic V,"Strategy,Turn-Based Strategy,Fantasy,Tactical,Turn-Based,RPG,Multiplayer,Masterpiece,Classic,Local Multiplayer,Story Rich,Singleplayer,Magic,Adventure,Great Soundtrack,Atmospheric",Single-player,Strategy,heroesofmightmagicv
Heroes® of Might & Magic® III - HD Edition,"Strategy,Classic,Turn-Based Strategy,Fantasy,Multiplayer,Masterpiece,Great Soundtrack,RPG,Atmospheric,Turn-Based,Singleplayer,Remake,Co-op,Adventure,Replay Value,Retro,Local Multiplayer,Magic,Local Co-Op,Action","Single-player,Multi-player,Steam Achievements,Includes level editor","RPG,Strategy",heroesofmightmagiciiihdedition
Bloons TD 5,"Tower Defense,Strategy,Co-op,Family Friendly,Action,Casual,Multiplayer,Singleplayer,Online Co-Op,Funny,2D,Colorful,Sandbox,Replay Value,Difficult,Great Soundtrack,Survival,Anime,Psychological Horror,Horror","Single-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Steam Leaderboards","Action,Strategy",bloonstd5
SpeedRunners,"Multiplayer,Racing,Local Multiplayer,Competitive,Fast-Paced,Platformer,Indie,2D,Funny,4 Player Local,Parkour,Action,Controller,Local Co-Op,Sports,Level Editor,Co-op,Arcade,Singleplayer,Superhero","Single-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Includes level editor","Action,Casual,Indie,Racing,Sports",speedrunners
DYNASTY WARRIORS® 8 Empires,"Action,Character Customization,Hack and Slash,Strategy,RPG,Historical,Third Person,Beat 'em up,Singleplayer,Great Soundtrack,Anime,Local Co-Op,Co-op","Single-player,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud,Steam Leaderboards",Action,dynastywarriors8empires
Besiege,"Early Access,Building,Sandbox,Physics,Destruction,Medieval,Singleplayer,Simulation,Early Access,Strategy,Indie,Funny,Puzzle,Blood,Action,Open World,Casual,Third Person,Multiplayer,Gore","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Workshop,Includes level editor","Indie,Simulation,Early Access",besiege
Scribblenauts Unlimited,"Puzzle,Casual,Adventure,Family Friendly,Sandbox,Singleplayer,2D,Funny,Comedy,Open World,Cute,Strategy,Education,Fantasy,Moddable,Platformer,Multiplayer,Replay Value,Action,Indie","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","Adventure,Casual,Strategy",scribblenautsunlimited
FINAL FANTASY IV,"JRPG,RPG,Fantasy,Remake,Story Rich,Classic,Great Soundtrack,Singleplayer,Turn-Based,Adventure,Turn-Based Combat,Masterpiece,1990's,Anime,Difficult,Controller","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",RPG,finalfantasyiv
Mortal Kombat Komplete Edition,"Fighting,Gore,Action,Violent,Multiplayer,Classic,Blood,Co-op,Masterpiece,Arcade,Singleplayer,2D Fighter,Competitive,Local Co-Op,Local Multiplayer,Replay Value,2.5D,Remake,Beat 'em up,2D","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards",Action,mortalkombatkompleteedition
Tropico 5,"Strategy,City Builder,Simulation,Sandbox,Multiplayer,Economy,Politics,Management,Singleplayer,Resource Management,Masterpiece,Comedy,Co-op,RPG,Historical,Great Soundtrack,RTS,Atmospheric,Open World,Funny","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","RPG,Simulation,Strategy",tropico5
Planetbase,"City Builder,Base Building,Space,Strategy,Survival,Simulation,Sci-fi,Resource Management,Singleplayer,Management,Building,Indie,Sandbox,Open World,Space Sim,RTS,Crafting,Atmospheric,Adventure,Free to Play","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Indie,Simulation,Strategy",planetbase
STAR WARS™ Republic Commando™,"Star Wars,FPS,Action,Tactical,Sci-fi,Singleplayer,Shooter,First-Person,Classic,Multiplayer,Great Soundtrack,Space,Masterpiece,Atmospheric,Epic,Adventure,Team-Based,Co-op,War,Strategy","Single-player,Multi-player,Local Multi-Player,Steam Cloud",Action,starwarsrepubliccommando
Cat Goes Fishing,"Fishing,Casual,Cute,Cats,Indie,Relaxing,Simulation,Singleplayer,2D,Arcade,Underwater,Puzzle,Action,Funny,Difficult,Psychological Horror,Anime,Family Friendly,Multiplayer,Gore","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Casual,Indie,Simulation",catgoesfishing
Overgrowth,"Parkour,Action,Indie,Martial Arts,Sandbox,Fighting,Fast-Paced,Moddable,Open World,Ninja,Physics,Gore,Third Person,Multiplayer,Singleplayer,Difficult,Funny,Adventure,Local Co-Op,Early Access","Single-player,Partial Controller Support,Includes level editor","Action,Indie",overgrowth
Resident Evil 6 / Biohazard 6,"Action,Zombies,Co-op,Third-Person Shooter,Horror,Adventure,Co-op Campaign,Online Co-Op,Third Person,Shooter,Quick-Time Events,Multiplayer,Survival Horror,Local Co-Op,Survival,Split Screen,Singleplayer,Atmospheric,Female Protagonist,Masterpiece","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Valve Anti-Cheat enabled,Steam Leaderboards","Action,Adventure",residentevil6biohazard6
Sleeping Dogs: Definitive Edition,"Open World,Action,Martial Arts,Crime,Singleplayer,Third Person,Story Rich,Adventure,Parkour,Racing,Multiplayer,Atmospheric,Gore,Shooter,Sandbox,Mature,Third-Person Shooter,Great Soundtrack,Remake,Co-op","Single-player,Steam Achievements,Full controller support,Steam Leaderboards","Action,Adventure,Racing",sleepingdogsdefinitiveedition
Sanctum 2,"Tower Defense,FPS,Co-op,Strategy,Action,Indie,Online Co-Op,Sci-fi,Multiplayer,First-Person,Shooter,Singleplayer,Survival,Futuristic,Aliens,Female Protagonist,Great Soundtrack,RPG,Funny,Adventure","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie,Strategy",sanctum2
Amnesia: The Dark Descent,"Horror,First-Person,Atmospheric,Survival Horror,Indie,Dark,Singleplayer,Adventure,Puzzle,Stealth,Psychological Horror,Survival,Story Rich,Gothic,Action,Exploration,Lovecraftian,Great Soundtrack,Masterpiece,Classic","Single-player,Steam Achievements,Full controller support,Captions available,Includes level editor,Commentary available","Action,Adventure,Indie",amnesiathedarkdescent
Counter-Strike Nexon: Zombies,"Free to Play,Zombies,Multiplayer,FPS,Shooter,Action,Gore,First-Person,Co-op,Horror,PvP,Online Co-Op,Singleplayer,PvE,Classic,Massively Multiplayer,Mod,Funny,Walking Simulator,Indie","Single-player,Multi-player,MMO,Co-op,Steam Achievements,Steam Trading Cards,Captions available,In-App Purchases","Action,Casual,Free to Play,Massively Multiplayer",counterstrikenexonzombies
Hero Siege,"RPG,Rogue-like,Hack and Slash,Indie,Action,Pixel Graphics,Multiplayer,Adventure,Local Co-Op,Co-op,2D,Top-Down,Rogue-lite,Action RPG,Difficult,Bullet Hell,Singleplayer,Controller,Twin Stick Shooter,Massively Multiplayer","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie,Massively Multiplayer,RPG",herosiege
EverQuest II,"Free to Play,RPG,Massively Multiplayer,MMORPG,Fantasy,Crafting,Open World,Adventure,Multiplayer,Exploration,Action,Character Customization,Singleplayer,Sandbox,Classic,FPS,First-Person","Multi-player,MMO","Free to Play,Massively Multiplayer,RPG",everquestii
Spelunky,"Rogue-like,Platformer,Indie,Difficult,2D,Local Co-Op,Replay Value,Procedural Generation,Addictive,Action,Perma Death,Rogue-lite,Adventure,Singleplayer,Co-op,Controller,Local Multiplayer,Great Soundtrack,Side Scroller,Multiplayer","Single-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards",Indie,spelunky
60 Seconds!,"Survival,Post-apocalyptic,Singleplayer,Strategy,Simulation,Dark Humor,Funny,Indie,Adventure,Comedy,Choices Matter,Action,Point & Click,Difficult,Casual,War,Dark Comedy,Atmospheric,Horror,Rogue-like","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Adventure,Casual,Indie,Simulation,Strategy",60seconds
Creativerse,"Free to Play,Survival,Multiplayer,Open World,Building,Sandbox,Crafting,Adventure,First-Person,Co-op,Action,Massively Multiplayer,Singleplayer,RPG,Indie,Casual,Simulation,Early Access,Voxel,Zombies","Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Trading Cards,Steam Workshop,In-App Purchases","Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG,Simulation",creativerse
METAL GEAR RISING: REVENGEANCE,"Great Soundtrack,Action,Hack and Slash,Spectacle fighter,Swordplay,Character Action Game,Third Person,Singleplayer,Ninja,Cyberpunk,Fast-Paced,Gore,Sci-fi,Difficult,Replay Value,Mechs,Adventure,Story Rich,Masterpiece,Beat 'em up","Single-player,Steam Achievements,Full controller support,Steam Cloud",Action,metalgearrisingrevengeance
Resident Evil™ 5/ Biohazard 5®,"Action,Zombies,Co-op,Third-Person Shooter,Horror,Co-op Campaign,Online Co-Op,Adventure,Third Person,Survival Horror,Shooter,Singleplayer,Multiplayer,Female Protagonist,Survival,Local Co-Op,Quick-Time Events,Gore,Atmospheric,3D Vision","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure",residentevil5biohazard5
Poly Bridge,"Building,Simulation,Physics,Puzzle,Singleplayer,Sandbox,Indie,Strategy,Difficult,Funny,Great Soundtrack,Casual,Early Access,Education,Level Editor,Crime,Crafting,Family Friendly,Open World,Adventure","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Indie,Simulation",polybridge
Call of Duty: United Offensive,"Action,World War II,FPS,Multiplayer,Singleplayer,Shooter,Military,Historical,Classic,War,First-Person,Masterpiece,Atmospheric","Single-player,Multi-player",Action,callofdutyunitedoffensive
Sonic Adventure 2,"Action,Platformer,Great Soundtrack,3D Platformer,Classic,Adventure,Fast-Paced,Replay Value,Singleplayer,Local Multiplayer,Third Person,Retro,Family Friendly,Multiplayer,Split Screen,Racing,Story Rich,Masterpiece,Sci-fi,Comedy","Single-player,Multi-player,Partial Controller Support",Action,sonicadventure2
"Warhammer 40,000: Dawn of War II","Warhammer 40K,Strategy,RTS,Sci-fi,Multiplayer,Tactical,Games Workshop,Singleplayer,Co-op,Futuristic,Gore,Online Co-Op,RPG,Action,Real-Time,Co-op Campaign,Fantasy,Great Soundtrack,Masterpiece,Atmospheric","Single-player,Multi-player,Co-op,Steam Trading Cards,Steam Cloud",Strategy,warhammer40000dawnofwarii
Duck Game,"Multiplayer,Funny,Pixel Graphics,Action,Local Multiplayer,2D,4 Player Local,Platformer,Indie,Fast-Paced,Comedy,Retro,Shooter,Competitive,Great Soundtrack,Local Co-Op,Co-op,Memes,Casual,1980s","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Includes level editor","Action,Indie",duckgame
Aliens vs. Predator™,"Action,FPS,Aliens,Sci-fi,Horror,Multiplayer,Shooter,Singleplayer,Gore,First-Person,Stealth,Atmospheric,Survival,Co-op,Blood,Survival Horror,Hunting,Adventure,Strategy,Online Co-Op","Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards",Action,aliensvspredator
POSTAL 2,"Dark Humor,Violent,Gore,FPS,Action,Open World,Classic,Singleplayer,Sandbox,Mature,Comedy,Funny,First-Person,Adventure,Shooter,Multiplayer,Satire,Family Friendly,Moddable,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Action,Adventure,Indie",postal2
Shadowrun: Dragonfall - Director's Cut,"RPG,Cyberpunk,Turn-Based,Strategy,Sci-fi,Story Rich,Isometric,Tactical,Singleplayer,Indie,CRPG,Adventure,Turn-Based Tactics,Fantasy,Atmospheric,Kickstarter,Turn-Based Strategy,Moddable,Female Protagonist,Touch-Friendly","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Adventure,Indie,RPG,Strategy",shadowrundragonfalldirectorscut
Counter-Strike,"Action,FPS,Multiplayer,Shooter,Classic,Team-Based,First-Person,Competitive,Tactical,1990's,e-sports,PvP,Old School,Military,Strategy,Masterpiece,Survival,Score Attack,1980s,Assassin","Multi-player,Online Multi-Player,Local Multi-Player,Valve Anti-Cheat enabled",Action,counterstrike
The Talos Principle,"Puzzle,First-Person,Sci-fi,Atmospheric,Story Rich,Philisophical,Singleplayer,Great Soundtrack,Robots,Adventure,Exploration,Open World,Indie,Difficult,Multiple Endings,Post-apocalyptic,Action,Mystery,Simulation,Masterpiece","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Action,Adventure,Indie",thetalosprinciple
Fable - The Lost Chapters,"RPG,Adventure,Action,Masterpiece,Fantasy,Third Person,Singleplayer,Choices Matter,Classic,Atmospheric,Open World,Magic,Story Rich,Great Soundtrack,Action RPG,Comedy,Character Customization,Exploration,Dark Fantasy,Medieval",Single-player,"Action,Adventure,RPG",fablethelostchapters
Stronghold Crusader HD,"Strategy,Medieval,RTS,Multiplayer,Classic,City Builder,Tactical,Historical,Economy,Simulation,Singleplayer,Building,Masterpiece,Sandbox,Adventure,Co-op,Action,Great Soundtrack,2D,Remake","Single-player,Multi-player,Steam Trading Cards,Steam Cloud,Includes level editor","Simulation,Strategy",strongholdcrusaderhd
Assassin’s Creed® Brotherhood,"Action,Adventure,Open World,Parkour,Stealth,Assassin,Third Person,Historical,Multiplayer,Singleplayer,Rome,Story Rich,Great Soundtrack,Atmospheric,Action-Adventure,Conspiracy,Sandbox,Medieval,Controller,Masterpiece","Single-player,Multi-player,Partial Controller Support","Action,Adventure",assassinscreedbrotherhood
F.E.A.R. 2: Project Origin,"Horror,FPS,Action,Singleplayer,Shooter,Gore,Bullet Time,Psychological Horror,First-Person,Multiplayer,Atmospheric,Sci-fi,Classic,Story Rich,Co-op,Mechs,Sequel,Nudity,Open World","Single-player,Multi-player",Action,fear2projectorigin
Fallout 3,"Open World,Post-apocalyptic,RPG,Singleplayer,Exploration,First-Person,Sci-fi,Action,Adventure,Moddable,Atmospheric,FPS,Shooter,Masterpiece,Third Person,Character Customization,Story Rich,Sandbox,Action RPG,Horror","Single-player,Partial Controller Support",RPG,fallout3
Max Payne 3,"Action,Third-Person Shooter,Bullet Time,Story Rich,Multiplayer,Cinematic,Shooter,Third Person,Noir,Singleplayer,Great Soundtrack,Atmospheric,Masterpiece,Violent,Adventure,Nudity,Linear,Dark,Drama,3D Vision","Single-player,Multi-player,Steam Achievements,Partial Controller Support",Action,maxpayne3
Deus Ex: Human Revolution - Director's Cut,"Cyberpunk,Stealth,RPG,Sci-fi,FPS,Action,Story Rich,Singleplayer,Great Soundtrack,Transhumanism,Dystopian,First-Person,Masterpiece,Adventure,Atmospheric,Inventory Management,Shooter,Futuristic,Replay Value,Open World","Single-player,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Commentary available","Action,RPG",deusexhumanrevolutiondirectorscut
Rivals of Aether,"Fighting,2D Fighter,Multiplayer,Pixel Graphics,Indie,Local Multiplayer,Competitive,Great Soundtrack,2D,4 Player Local,Platformer,Action,Arcade,Early Access,Singleplayer,Beat 'em up,Controller,Retro,GameMaker,Anime","Single-player,Online Multi-Player,Local Multi-Player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards",Indie,rivalsofaether
resident evil 4 / biohazard 4,"Inventory Management,Survival Horror,Action,Zombies,Masterpiece,Horror,Third-Person Shooter,Singleplayer,Adventure,Third Person,Classic,Quick-Time Events,Atmospheric,Survival,Remake,Shooter,Gore,Replay Value,Great Soundtrack,Difficult","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards","Action,Adventure",residentevil4biohazard4
Star Conflict,"Free to Play,Space,Action,Multiplayer,Sci-fi,Massively Multiplayer,Simulation,Open World,Space Sim,Flight,Shooter,Co-op,Third Person,PvP,Competitive,Adventure,Atmospheric,Sandbox,MMORPG,VR","Multi-player,MMO,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support","Action,Free to Play,Massively Multiplayer,Simulation",starconflict
Dead Space™ 2,"Horror,Action,Sci-fi,Space,Third Person,Survival Horror,Gore,Multiplayer,Third-Person Shooter,Atmospheric,Singleplayer,Shooter,Aliens,Co-op,Adventure,Story Rich,Survival,Futuristic,Blood,Masterpiece","Single-player,Multi-player,Partial Controller Support",Action,deadspace2
Tomb Raider,"Adventure,Action,Female Protagonist,Third Person,Lara Croft,Singleplayer,Third-Person Shooter,Story Rich,Exploration,Multiplayer,Quick-Time Events,Atmospheric,Action-Adventure,Shooter,Stealth,Puzzle,Cinematic,Platformer,Masterpiece,RPG","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure",tombraider
Natural Selection 2,"Multiplayer,Strategy,FPS,Team-Based,Action,Sci-fi,RTS,Aliens,Indie,Competitive,Shooter,Co-op,Moddable,Tactical,First-Person,Space,Futuristic,Atmospheric,Online Co-Op,Adventure","Multi-player,Online Multi-Player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor","Action,Indie,Strategy",naturalselection2
Broforce,"America,Action,Pixel Graphics,Co-op,2D,Platformer,Local Co-Op,Multiplayer,Indie,Shooter,Side Scroller,Funny,Retro,Gore,Local Multiplayer,Comedy,Arcade,Adventure,Casual,Masterpiece","Single-player,Multi-player,Co-op,Shared/Split Screen,Full controller support,Includes level editor","Action,Adventure,Casual,Indie",broforce
Paint the Town Red,"Early Access,Gore,Action,Blood,Fighting,Violent,First-Person,Multiplayer,Early Access,Beat 'em up,Funny,Sandbox,Singleplayer,Survival,Indie,Pixel Graphics,Physics,Difficult,Voxel,FPS","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Full controller support,Steam Workshop,Steam Leaderboards,Includes level editor","Action,Indie,Early Access",paintthetownred
realMyst: Masterpiece Edition,"Adventure,Puzzle,Point & Click,Exploration,Classic,Mystery,First-Person,Remake,Story Rich,Indie,Relaxing,Difficult,Singleplayer,Atmospheric,Beautiful,Walking Simulator,Surreal,FMV,Casual,Masterpiece","Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie",realmystmasterpieceedition
Orcs Must Die! 2,"Tower Defense,Co-op,Action,Strategy,Online Co-Op,Indie,Third Person,Fantasy,Multiplayer,Funny,Comedy,Third-Person Shooter,Singleplayer,Cartoony,RPG,Shooter,Adventure,Female Protagonist,Great Soundtrack,Controller","Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie,Strategy",orcsmustdie2
Dead Space,"Horror,Sci-fi,Action,Space,Third Person,Survival Horror,Atmospheric,Singleplayer,Third-Person Shooter,Gore,Shooter,Aliens,Dark,Futuristic,Story Rich,Silent Protagonist,Survival,Adventure,Masterpiece,Zombies","Single-player,Full controller support",Action,deadspace
STAR WARS™ Jedi Knight - Jedi Academy™,"Star Wars,Action,Sci-fi,Third Person,Multiplayer,Classic,Singleplayer,Moddable,FPS,Swordplay,Character Customization,Adventure,Shooter,First-Person,RPG,Third-Person Shooter,Masterpiece,Great Soundtrack,Hack and Slash,Female Protagonist","Single-player,Online Multi-Player,Local Multi-Player,Partial Controller Support,Steam Cloud",Action,starwarsjediknightjediacademy
Skullgirls,"Fighting,2D Fighter,Indie,Anime,Multiplayer,2D,Great Soundtrack,Action,Female Protagonist,Competitive,Local Multiplayer,Crowdfunded,Cute,Hand-drawn,Cartoon,Arcade,Controller,Singleplayer,Beat 'em up,Nudity","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie",skullgirls
Call to Arms,"Strategy,Military,RTS,Multiplayer,Free to Play,War,Action,Tactical,Simulation,FPS,Singleplayer,Modern,Co-op,Realistic,Shooter,First-Person,Third Person,Early Access,Sandbox,Indie","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Action,Free to Play,Indie,Simulation,Strategy",calltoarms
Champions Online,"Free to Play,Superhero,Massively Multiplayer,RPG,MMORPG,Character Customization,Open World,Action,Multiplayer,Third Person,Co-op,Adventure,Comic Book,Action RPG,Sci-fi,Singleplayer,Online Co-Op,PvP,FPS,Controller","Multi-player,MMO,Co-op,Steam Achievements","Free to Play,Massively Multiplayer,RPG",championsonline
The Legend of Heroes: Trails in the Sky,"JRPG,RPG,Story Rich,Anime,Great Soundtrack,Turn-Based,Female Protagonist,Fantasy,Adventure,Masterpiece,Singleplayer,Turn-Based Strategy,Classic,Tactical RPG,Strategy,Turn-Based Combat,Action,Romance,Strategy RPG,Tactical","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",RPG,thelegendofheroestrailsinthesky
Magicka 2,"Magic,Co-op,Adventure,Comedy,Multiplayer,Action,Funny,Online Co-Op,Atmospheric,Team-Based,PvP,RPG,Open World,Local Co-Op,Fantasy,Memes,Masterpiece,Gore,Local Multiplayer,Singleplayer","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure",magicka2
FATE,"RPG,Action,Adventure,Dungeon Crawler,Classic,Action RPG,Hack and Slash,Fantasy,Singleplayer,Fishing,Casual,Isometric,Loot","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,RPG",fate
Risk of Rain,"Rogue-like,Indie,Platformer,Action,Pixel Graphics,Great Soundtrack,Online Co-Op,Difficult,Perma Death,Co-op,2D,Local Co-Op,Rogue-lite,Multiplayer,Singleplayer,Addictive,RPG,Replay Value,Survival,Sci-fi","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support","Action,Indie,RPG",riskofrain
Clicker Heroes,"Clicker,Free to Play,Singleplayer,Casual,2D,Indie,Funny,Addictive,RPG,Adventure,Fantasy,Family Friendly,Strategy,Simulation,Multiplayer,Touch-Friendly,Action,Management,Illuminati,Co-op","Single-player,Steam Achievements,Steam Trading Cards,In-App Purchases,Steam Cloud,Stats","Adventure,Casual,Free to Play,Indie,RPG,Simulation,Strategy",clickerheroes
Insaniquarium Deluxe,"Casual,Simulation,Classic,Singleplayer,Underwater,Aliens,Point & Click,Clicker,Cute,Action,Strategy,Colorful,Family Friendly,Funny,Difficult,Relaxing",Single-player,Casual,insaniquariumdeluxe
